seq,fold,mfe1,mfe2,icshape,binding,rpkm,relatelen,utrrate,predicted_score
0.3015746,0.023274763,0.0652678,0.117524356,0.0,0.46995148,8.690569e-06,0.011291667,0.011106683,0.024218902
0.1763021,0.07442014,0.10333239,0.08927621,0.0,0.52604336,9.849871e-06,0.0129660275,0.017649993,-0.014718723
0.29733542,0.13067298,0.013152006,0.023623874,0.0,0.4921742,2.5887286e-06,0.0034140404,0.039624937,0.02201724
0.27721584,0.03190035,0.057110872,0.13142027,0.0,0.47410238,3.028599e-06,0.0074344487,0.02081284,0.031576388
0.22318326,0.052544385,0.059883475,0.13095964,0.0,0.50672436,2.9993728e-06,0.010803636,0.015898213,0.0033085048
0.18815991,0.06847101,0.08339931,0.14431173,0.0,0.4892609,1.0111582e-05,0.012767945,0.013619049,-0.06326775
0.22234364,0.06727853,0.06892449,0.14552224,0.0,0.4718129,1.2672918e-05,0.0107538365,0.013351722,-0.037873674
0.20012854,0.07330235,0.09527518,0.08036203,0.0,0.5254077,1.2434901e-05,0.010566434,0.014945341,0.0010792986
0.21160613,0.056449648,0.05770234,0.12710321,0.0,0.5236479,1.8342082e-05,0.014707245,0.008765256,-0.051896907
0.2374235,0.05496161,0.06813748,0.17186981,0.0,0.43459433,1.6391197e-06,0.010053048,0.02295851,0.016086012
0.22531778,0.06394302,0.0726284,0.09277079,0.0,0.51807034,8.451789e-07,0.013398099,0.0138706425,-0.009168096
0.23618414,0.05863767,0.082173534,0.15068987,0.0,0.44382894,1.0359134e-05,0.011086013,0.017389568,-0.03584913
0.2351291,0.059176363,0.053010914,0.13701582,0.0,0.48011127,1.3285273e-05,0.0129948985,0.022548428,-0.081071064
0.14564653,0.060062874,0.098377414,0.15872249,0.0,0.51818436,1.0883642e-05,0.011827065,0.0071684453,-0.018077403
0.33058703,0.065205716,0.043716274,0.0041210037,0.0,0.5267344,1.1649218e-05,0.0020311982,0.027592732,0.030762933
0.28074643,0.07479458,0.03537578,0.029966617,0.0,0.553506,3.2222235e-06,0.0076082386,0.01799899,0.0025445
0.25927135,0.13247302,0.00789283,0.03928063,0.0,0.5222283,6.580834e-06,0.007179375,0.031667877,0.010395892
0.19327024,0.048339292,0.13482137,0.13994463,0.0,0.43789795,2.6559046e-05,0.0036924365,0.042007472,0.023512296
0.32637724,0.025887625,0.04739631,0.051161777,0.0,0.4995836,1.2617824e-05,0.0018446118,0.04773621,0.05357772
0.2664976,0.024672458,0.06527982,0.04549279,0.0,0.5536007,4.6580357e-07,0.008895792,0.035560377,-0.00050824136
0.23605935,0.07913517,0.07279461,0.18996768,0.0,0.4006274,8.76121e-06,0.0063958475,0.015011237,0.04145296
0.24921153,0.0671071,0.06899279,0.14356065,0.0,0.43923032,2.954485e-06,0.0032172082,0.028677437,0.02957841
0.14185244,0.113945894,0.022680078,0.11514809,0.0,0.5440432,1.7663833e-05,0.00873961,0.053572956,0.0961935
0.19330718,0.11695581,0.08818486,0.14880484,0.0,0.40027782,5.108002e-06,0.005429824,0.047034524,0.040843666
0.18539472,0.098616466,0.013577811,0.20815368,0.0,0.43267748,8.136587e-06,0.0106679415,0.050903823,-0.0061398894
0.18767434,0.08479743,0.057634052,0.19092312,0.0,0.4175386,1.2411781e-05,0.008879037,0.052541025,0.020770937
0.21070576,0.08936287,0.09099224,0.07475642,0.0,0.48891544,9.425844e-06,0.008976738,0.036281064,0.0728598
0.22507396,0.08112319,0.054706704,0.3191015,0.0,0.2903259,7.726385e-07,0.0029737677,0.026694154,0.030947216
0.26693448,0.11114191,0.009071524,0.19209285,0.0,0.37347847,4.934879e-06,0.010489153,0.036786683,-0.03452599
0.3162764,0.06463484,0.023535125,0.2656477,0.0,0.30222285,4.515159e-06,0.005870017,0.021808567,0.02059751
0.27797762,0.11450366,0.025006793,0.27718946,0.0,0.272753,4.2469273e-06,0.0049395706,0.027625706,0.021599948
0.30147257,0.10641641,0.020894969,0.2657051,0.0,0.27815935,1.4801676e-06,0.005384829,0.021965321,-0.03325863
0.2303845,0.07599866,0.0009259942,0.0688313,0.0,0.5550694,9.505753e-06,0.008179396,0.060601205,0.08388596
0.26440525,0.071110286,0.05830343,0.06214049,0.0,0.4909665,1.2152001e-05,0.00546696,0.047594875,0.078647815
0.35593623,0.10892261,0.03132117,0.13875936,0.0,0.33331028,2.30426e-06,0.008728799,0.023019252,-0.018296499
0.19304287,0.07432967,0.0872796,0.028434584,0.0,0.5636211,1.03824705e-05,0.0073811463,0.045900557,0.08319918
0.2731827,0.08119167,0.0012570503,0.112887256,0.0,0.5020269,2.5399338e-05,0.0014882132,0.02794087,0.07016338
0.19193491,0.093458295,0.06262286,0.076739214,0.0,0.53253305,1.4130381e-05,0.0030075002,0.03969003,0.07409831
0.21273334,0.12785532,0.022436986,0.124612905,0.0,0.4754379,8.961446e-06,0.0051085106,0.03180607,0.07890602
0.17411481,0.07875513,0.024700124,0.0026775245,0.0,0.64450026,1.2873898e-05,0.0103782285,0.06486102,0.09453028
0.2254545,0.08171649,0.07552582,0.21606193,0.0,0.35410374,4.2210395e-06,0.010590214,0.036543064,-0.045632467
0.27555677,0.12796776,0.04728057,0.22515367,0.0,0.29349178,1.7210754e-06,0.008078157,0.022469673,-0.011580475
0.25121358,0.05916475,0.036023438,0.15624931,0.0,0.44773266,2.9150774e-06,0.015070636,0.034542635,-0.47095665
0.23000537,0.124062985,0.010270816,0.1603136,0.0,0.4191404,3.3198282e-06,0.011236693,0.04496692,-0.064502805
0.27692455,0.08032107,0.09832044,0.17141604,0.0,0.34501594,7.4068357e-06,0.004725851,0.023268668,0.03509645
0.267863,0.07740329,0.041614253,0.19817938,0.0,0.38732108,1.7966623e-07,0.011543245,0.0160756,0.042660736
0.23645966,0.13139828,0.038673677,0.24788673,0.0,0.3216137,5.388339e-06,0.0077163787,0.016246172,0.041582145
0.19723293,0.11005909,0.04935382,0.1612124,0.0,0.41905794,6.438162e-08,0.0051414534,0.057942383,0.023944907
0.26955453,0.062481,0.06852404,0.17316839,0.0,0.4081699,9.93301e-06,0.0062127,0.011879575,0.053690434
0.25050658,0.054831713,0.063319206,0.13616386,0.0,0.4662755,3.7127825e-06,0.0070302594,0.021869132,0.06741456
0.23872277,0.066194445,0.04991853,0.0063357814,0.0,0.6065985,6.3206294e-06,0.005585931,0.026637841,0.06634704
0.30410764,0.08702456,0.03965485,0.06380311,0.0,0.47318566,2.8405539e-06,0.010567993,0.021653363,-0.0074514113
0.29917392,0.09259191,0.018902078,0.14407468,0.0,0.40458912,1.40815155e-05,0.00622235,0.034431893,-0.10682567
0.22437096,0.06144978,0.09888092,0.22006159,0.0,0.37623778,7.247867e-06,0.005142004,0.013849682,0.044536225
0.24653393,0.09183583,0.0608897,0.15960832,0.0,0.40061703,2.951311e-06,0.008159192,0.032352995,0.03935512
0.23383711,0.050357077,0.031621393,0.13606516,0.0,0.5111581,7.702119e-06,0.005106954,0.031846453,0.052175544
0.27979603,0.051536653,0.06423706,0.1675097,0.0,0.3997292,8.833376e-06,0.007272088,0.029910434,0.03188727
0.24083175,0.033552367,0.070358135,0.17474155,0.0,0.44792208,3.9434726e-06,0.0066192183,0.025970897,0.07459704
0.30135602,0.08513384,0.006251825,0.19821404,0.0,0.3757651,8.628447e-06,0.006681111,0.02658935,-0.12751523
